jobs,lock,runtime_ns
6,backoff-1-64,94304845
8,backoff-1-64,124248790
8,backoff-1-64,130768606
8,backoff-1-64,128956179
8,backoff-1-64,128032049
8,backoff-1-64,127317308
8,backoff-1-64,127867355
8,backoff-1-64,128709098
8,backoff-1-64,128184172
8,backoff-1-64,126336743
8,backoff-1-64,130048091
8,backoff-1-64,127791623
8,backoff-1-64,127617159
8,backoff-1-64,128842344
8,backoff-1-64,128582822
8,backoff-1-64,127893529
8,backoff-1-64,126911847
8,backoff-1-64,129466981
8,backoff-1-64,128490235
8,backoff-1-64,128734685
8,backoff-1-64,129204161
8,backoff-1-64,129031560
8,backoff-1-64,129795167
8,backoff-1-64,130557539
8,backoff-1-64,128565986
8,backoff-1-64,130981063
8,backoff-1-64,129402565
8,backoff-1-64,130989814
8,backoff-1-64,129222878
8,backoff-1-64,128061870
8,backoff-1-64,127322105
8,backoff-1-64,129725135
8,backoff-1-64,128670067
8,backoff-1-64,130550776
8,backoff-1-64,128385960
8,backoff-1-64,129110120
8,backoff-1-64,129598666
8,backoff-1-64,127409385
8,backoff-1-64,129634007
8,backoff-1-64,129145640
8,backoff-1-64,126756748
8,backoff-1-64,128870364
8,backoff-1-64,127029817
8,backoff-1-64,126875570
8,backoff-1-64,128933438
8,backoff-1-64,126314079
8,backoff-1-64,128905947
8,backoff-1-64,128851077
8,backoff-1-64,129810579
8,backoff-1-64,129152696
8,backoff-1-64,128823199
10,backoff-1-64,190000216
10,backoff-1-64,193281487
10,backoff-1-64,190167004
10,backoff-1-64,190912384
10,backoff-1-64,192716018
10,backoff-1-64,193665061
10,backoff-1-64,191262008
10,backoff-1-64,193585200
10,backoff-1-64,190287344
10,backoff-1-64,193436353
10,backoff-1-64,193915967
10,backoff-1-64,191534305
10,backoff-1-64,189269840
10,backoff-1-64,194043841
10,backoff-1-64,190898075
10,backoff-1-64,194428531
10,backoff-1-64,191177227
10,backoff-1-64,193642893
10,backoff-1-64,191004162
10,backoff-1-64,194180965
10,backoff-1-64,191195611
10,backoff-1-64,194441695
10,backoff-1-64,191259163
10,backoff-1-64,190647731
10,backoff-1-64,193341098
10,backoff-1-64,191666967
10,backoff-1-64,193294095
10,backoff-1-64,191468688
10,backoff-1-64,193117601
10,backoff-1-64,191236170
10,backoff-1-64,190294263
10,backoff-1-64,191383869
10,backoff-1-64,192897171
10,backoff-1-64,191072125
10,backoff-1-64,193136451
10,backoff-1-64,191528302
10,backoff-1-64,194087713
10,backoff-1-64,193492437
10,backoff-1-64,190294579
10,backoff-1-64,193714222
10,backoff-1-64,191608114
10,backoff-1-64,193742187
10,backoff-1-64,190329062
10,backoff-1-64,192119202
10,backoff-1-64,189012599
10,backoff-1-64,190860387
10,backoff-1-64,193499831
10,backoff-1-64,190522213
10,backoff-1-64,191155249
10,backoff-1-64,194279178
1,backoff-1-512,1471603
1,backoff-1-512,1482140
1,backoff-1-512,1435099
1,backoff-1-512,1489175
1,backoff-1-512,1435841
1,backoff-1-512,1462136
1,backoff-1-512,1456895
1,backoff-1-512,1432523
1,backoff-1-512,1449607
1,backoff-1-512,1432086
1,backoff-1-512,1496762
1,backoff-1-512,1432117
1,backoff-1-512,1487990
1,backoff-1-512,1431357
1,backoff-1-512,1489285
1,backoff-1-512,1445660
1,backoff-1-512,1480237
1,backoff-1-512,1443646
1,backoff-1-512,1439380
1,backoff-1-512,1481752
1,backoff-1-512,1455892
1,backoff-1-512,1466985
1,backoff-1-512,1438204
1,backoff-1-512,1482156
1,backoff-1-512,1432525
1,backoff-1-512,1461892
1,backoff-1-512,1421543
1,backoff-1-512,1420084
1,backoff-1-512,1414883
1,backoff-1-512,1435801
1,backoff-1-512,1471610
1,backoff-1-512,1420064
1,backoff-1-512,1461765
1,backoff-1-512,1413495
1,backoff-1-512,1455427
1,backoff-1-512,1447481
1,backoff-1-512,1451725
1,backoff-1-512,1438282
1,backoff-1-512,1435879
1,backoff-1-512,1491025
1,backoff-1-512,1436280
1,backoff-1-512,1489731
1,backoff-1-512,1418460
1,backoff-1-512,1483902
1,backoff-1-512,1436376
1,backoff-1-512,1489102
1,backoff-1-512,1455481
1,backoff-1-512,1558047
1,backoff-1-512,1546282
1,backoff-1-512,1552394
2,backoff-1-512,16372402
2,backoff-1-512,13666957
2,backoff-1-512,19153284
2,backoff-1-512,17766972
2,backoff-1-512,19749464
2,backoff-1-512,16648452
2,backoff-1-512,19918782
2,backoff-1-512,14115975
2,backoff-1-512,9671915
2,backoff-1-512,10596168
2,backoff-1-512,9758722
2,backoff-1-512,10505592
2,backoff-1-512,10015269
2,backoff-1-512,10798682
2,backoff-1-512,10302442
2,backoff-1-512,10698530
2,backoff-1-512,10681346
2,backoff-1-512,11712504
2,backoff-1-512,13853408
2,backoff-1-512,11497280
2,backoff-1-512,14640524
2,backoff-1-512,11398419
2,backoff-1-512,14126972
2,backoff-1-512,11093968
2,backoff-1-512,14154014
2,backoff-1-512,11647718
2,backoff-1-512,14234175
2,backoff-1-512,11510775
2,backoff-1-512,10385455
2,backoff-1-512,12716126
2,backoff-1-512,11119387
2,backoff-1-512,12984027
2,backoff-1-512,10839092
2,backoff-1-512,13120763
2,backoff-1-512,11359866
2,backoff-1-512,13584934
2,backoff-1-512,10359672
2,backoff-1-512,13104520
2,backoff-1-512,12214920
2,backoff-1-512,13221612
2,backoff-1-512,14972893
2,backoff-1-512,12117690
2,backoff-1-512,11210598
2,backoff-1-512,12453887
2,backoff-1-512,11861664
2,backoff-1-512,13074837
2,backoff-1-512,11861702
2,backoff-1-512,11616137
2,backoff-1-512,11103234
2,backoff-1-512,11889705
4,backoff-1-512,43186732
4,backoff-1-512,43270753
4,backoff-1-512,42542945
4,backoff-1-512,42987145
4,backoff-1-512,43694771
4,backoff-1-512,43250379
4,backoff-1-512,42655441
4,backoff-1-512,43970432
4,backoff-1-512,43165633
4,backoff-1-512,44154903
4,backoff-1-512,44567933
4,backoff-1-512,42385667
4,backoff-1-512,44439441
4,backoff-1-512,43992776
4,backoff-1-512,43276478
4,backoff-1-512,43970363
4,backoff-1-512,43985370
4,backoff-1-512,43300432
4,backoff-1-512,43024738
4,backoff-1-512,43289768
4,backoff-1-512,43644020
4,backoff-1-512,42659998
4,backoff-1-512,42898888
4,backoff-1-512,43743691
